타격
강타
정밀 사격
베어가르기
무모한 휘두르기
수비
방어 태세
방벽
장벽
치유
숨 고르기
응급 처치
집중
전투 함성
연막
철벽 태세
속독
통찰
아드레날린
독침
무장 해제
약점 노출
뇌진탕
약화의 일격
방패 가격
결집
일제 사격
반격 태세
이중 타격
최후의 저항
핵분열 폭발
노심 용융
방사선 파동
격납 붕괴
방사선 조사
낙진
임계 질량
붕괴
연쇄 반응
중성자 창
원자로 과부하
반감기
동위원소 탄
원자 충격
오염 지대
폐연료봉
감마선 폭발
다단 분열
노심 직격
기폭
나노 블레이드
복합 방패
폴리머 타격
보호막 직조
강화 장갑
반응 장갑
탄소 격자
자가 복원
그래핀 칼날
요새
충격 흡수
형상기억 합금
인장 타격
소모형 장갑
나노직 보호
탄성 회복
반격 행렬
진영 보강
적응형 메시
불침투
연료전지 폭발
극저온 분사
플라즈마 아크
교란 가스
순간 빙결
수소 폭탄
동상
압력 급등
냉각재 분사
점화
초저온
제트 기류
빙결 창
기화 베기
심층 동결
연소
액체질소
과압
서리 폭발
절대영도
돌풍 베기
진공 파열
터빈 킥
광합성
순풍
태양 폭발
정화의 비
상승 기류
초목 성장
허리케인
미풍 일격
지열
수분
폭풍의 눈
윈드시어
재생
잔잔한 바람
토네이도
생울타리
대지의 축복
알고리즘 타격
신경망 과부하
데이터 삭제
재컴파일
최적화
병렬 처리
오버클럭
예측 조준
캐시 적중
논리 폭탄
심층 학습
조준 행렬
무차별 대입
조각 모음
암호화
신경망
긴급 패치
취약점 공략
재귀 타격
스택 오버플로
특이점
전력 과부하
정전 타격
아크 방전
연쇄 번개
과전압
정전기장
뇌격
전도체
서지 방호
전자기 펄스
테슬라 코일
전압 급등
계통 마비
방전
축전기
구상 번개
전기 충격
전력망
피뢰침
폭풍 해일
